,Job Title,Company,Location,Salary
955,Industrial Automation Software Engineer,Broetje Automation,"Chicago, IL 60606 (Loop area)","$84,000 - $118,000 a year (Indeed est.)"
956,.NET Software Developer,benefitexpress,"Schaumburg, IL 60173","$78,000 - $109,000 a year (Indeed est.)"
957,Junior DevOps Engineer,Packback Inc.,"Chicago, IL 60604 (Loop area)","$79,000 - $108,000 a year (Indeed est.)"
958,Software Developer (Python/Linux),Old Mission Capital,"Chicago, IL","$102,000 - $152,000 a year (Indeed est.)"
959,Senior Software Engineer,Allstate,"Chicago, IL 60290 (Loop area)","$94,000 - $126,000 a year (Indeed est.)"
960,"Cloud Networking and Infrastructure Engineer, Google Profess...",Google,"Chicago, IL 60607 (Near West Side area)","$96,000 - $133,000 a year (Indeed est.)"
962,"Senior Engineer, Software Development",Shure Incorporated,"Niles, IL 60714","$96,000 - $129,000 a year (Indeed est.)"
963,Software Developer,American Guardian Warranty Services (AGWS),"Warrenville, IL","$48,000 - $72,000 a year (Indeed est.)"
964,"Security Engineer, Cyber Defense",The University of Chicago,"Chicago, IL","$93,000 - $139,000 a year (Indeed est.)"
965,Senior Software Engineer,XPO Logistics,"Chicago, IL 60601 (Loop area)","$80,000 - $107,000 a year (Indeed est.)"
966,"Software Engineer, Frontend - Marketing",kraken,"Chicago, IL","$80,000 - $120,000 a year (Indeed est.)"
967,Java Developer,NCS Inc.,"Chicago, IL","$89,000 - $128,000 a year (Indeed est.)"
968,Senior Software Engineer 2,BMW of North America LLC.,"Chicago, IL","$109,000 - $146,000 a year (Indeed est.)"
969,Lead Software Engineer-Full Stack,Discover Financial Services,"Chicago, IL","$96,000 - $137,000 a year (Indeed est.)"
