,Job Title,Company,Location,Salary
1033,Full Stack Engineer,American Express,"New York, NY","$83,000 - $119,000 a year (Indeed est.)"
1038,Technical Support Representative,"MS Shift, Inc.","New York, NY 10007 (Financial District area)","$40,000 - $45,000 a year"
1041,"Staff Software Engineer, Search",GIPHY,"New York, NY","$129,000 - $193,000 a year (Indeed est.)"
1048,Java Engineer,InRhythm,"New York, NY","$100,000 - $150,000 a year"
1049,M204 expert programmer,LogicSoft LLC,"Brooklyn, NY",$85 an hour
1051,"Software Engineer, Vault",HashiCorp,"New York, NY","$97,000 - $145,000 a year (Indeed est.)"
1053,Backend Engineer,SmartAsset,"New York, NY 10012 (Little Italy area)","$93,000 - $140,000 a year (Indeed est.)"
1055,Back-End Engineer - NYC,N26,"New York, NY","$99,000 - $149,000 a year (Indeed est.)"
1056,Programmer Entry Level,DarkMatter2bd,"Keyport, NJ","$30,000 - $60,000 a year"
1058,Software Engineer - New Products & Membership,WeWork,"New York, NY","$105,000 - $157,000 a year (Indeed est.)"
1060,Research Software Engineer,IBM,"Yorktown Heights, NY 10598","$89,000 - $134,000 a year (Indeed est.)"
1061,Back End Software Developer - eCommerce,Verified Solutions,"New York, NY","$110,000 - $130,000 a year"
1062,Java / Pega / Microservices Software Engineer,JP Morgan Chase,"New York, NY 10001 (Chelsea area)","$146,000 - $211,000 a year (Indeed est.)"
1063,"SVP, Software Engineering & Architecture",ASCAP,"New York, NY 10023 (Upper West Side area)","$132,000 - $198,000 a year (Indeed est.)"
1064,"Software Engineer, Mastercard Labs - Java /J2EE",MasterCard,"New York, NY 10011 (Chelsea area)","$109,000 - $158,000 a year (Indeed est.)"
1067,ColdFusion Software Developer - US Citizenship Required,General Dynamics Information Technology,"New York, NY","$90,000 - $135,000 a year (Indeed est.)"
1069,Software Engineer,"North Atlantic Industries, Inc","Bohemia, NY","$68,000 - $102,000 a year (Indeed est.)"
1070,"Software Engineer, iOS - NYC Financial Products",Uber,"New York, NY 10018 (Clinton area)","$123,000 - $184,000 a year (Indeed est.)"
1071,Full-Stack Engineer,Vettery,"New York, NY","$112,000 - $161,000 a year (Indeed est.)"
1072,Data Scientist – Personalization,Spotify,"New York, NY 10011 (Chelsea area)","$125,000 - $184,000 a year (Indeed est.)"
