,Job_Title,Company,Location,Salary
68,GCP Software Engineer,JUUL Labs,"San Francisco, CA 94107 (South Of Market area)",145500.0
69,"Software Engineer, SparkX",Facebook,"Menlo Park, CA",107500.0
70,Software Engineer,Huddl.ai,"Mountain View, CA 94041",144500.0
71,IT Helpdesk Support,"AEye, Inc","Pleasanton, CA",45000.0
72,Software Tester II,JDA TSG,"Cupertino, CA",96500.0
73,Software Development Engineer,eBay Inc.,"San Jose, CA",129000.0
74,Software Engineer Intern in Test Automation - 1,Nanometrics Incorporated,"Milpitas, CA 95035",105500.0
75,Embedded Software Engineer,GlobalEdge Software Inc,"Mountain View, CA",110500.0
76,Front End Software Developer,HCL Technologies,"Emeryville, CA 94608",110000.0
77,Scientific Software Engineer,Citrine,"Redwood City, CA",149500.0
78,Software Engineer,Honor,"San Francisco, CA 94110 (Mission area)",117500.0
79,Software Development QA Engineer 3 (AMRD2203),Fortinet,"Sunnyvale, CA 94086",97000.0
80,Intern - Software Engineering,Astranis,"San Francisco, CA",126000.0
81,IT Technical support engineer,Bristlecone,"San Jose, CA 95113 (Downtown area)",67500.0
82,Software Developer II,Genentech,"South San Francisco, CA 94083",118000.0
83,Software Support Engineer,Chronicle,"Mountain View, CA",124000.0
84,Data Scientist Intern,AgilOne,"Sunnyvale, CA",111000.0
85,Software Engineer,"Omron Adept Technologies, Inc.","Fremont, CA 94555 (Northgate area)",104500.0
86,Software QA Engineer,Rambus,"Sunnyvale, CA 94089",119000.0
87,Software CO-OP Engineer - Summer 2019,NOKIA,"Mountain View, CA",127500.0
88,"AVP, Software Engineering","RingCentral, Inc.","Belmont, CA",147000.0
89,Software Test Engineer,Shipt,"San Francisco, CA",119000.0
90,Software Engineer,CargoSmart.ai,"San Jose, CA",116500.0
91,Software Engineer,L&T Technology Services Ltd.,"Milpitas, CA",101000.0
92,Software Engineer,Wikimedia Foundation,"San Francisco, CA 94105 (Financial District area)",110000.0
93,"Software Engineer I - Redwood City, CA",Guardant Health,"Redwood City, CA 94063",138000.0
94,Software Engineering - Software Validation & Quality Assuran...,Marvell,"Santa Clara, CA",112000.0
95,Software Engineer - Payments,Adobe,"San Jose, CA",117500.0
96,Software Engineer - Test,Zippin,"San Francisco, CA",114500.0
97,Sr. Software Engineer,Safeway Inc./Albertson's Inc,"Livermore, CA",130000.0
98,Embedded Software Architect,Cybernetic Search,"San Francisco Bay Area, CA",260000.0
100,Software Generalist – Fullstack,Burstorm,"San Carlos, CA",115000.0
101,Software Engineer in Test,LeanTaaS,"Santa Clara, CA 95050",135000.0
102,"Software Engineer, Full stack","OmniTier, Inc.","Milpitas, CA",115000.0
103,Sr. Software Engineer,Twitter,"San Francisco, CA 94103 (South Of Market area)",153000.0
104,Software Engineer (Delighted),Qualtrics,"Palo Alto, CA",123000.0
105,Software Engineer (Software Developer 2),Stanford University,"Stanford, CA",86500.0
106,"Software Engineer, Media",Airtime,"Palo Alto, CA",132500.0
107,Software Engineer (Golang/Go),Tesla,"Fremont, CA",117500.0
108,Summer 2019 Intern - Embedded Software Engineering,Vizio Inc.,"San Francisco, CA 94103 (South Of Market area)",128500.0
109,Embedded Software Engineer,Square,"San Francisco, CA 94103 (South Of Market area)",118500.0
110,Software Developer 3 (DBaaS),Oracle,"Santa Clara, CA 95051",114000.0
111,Full Stack Software Engineer,Samsung Research America,"Mountain View, CA 94043",139500.0
112,Frontend Software Engineer Internship Customer Tech,Walmart eCommerce,"Sunnyvale, CA 94087",137000.0
